Activity,Id_Leg,Checkin,Dep,Arr,Start,End,Checkout,Tempo Solo Diurno,Tempo Solo Noturno,Tempo Solo Especial Diurno,Tempo Solo Especial Noturno
AD5046,-I,01/11/2017 18:55,VCP,POA,01/11/2017 19:48,01/11/2017 21:37,02/11/2017 04:01,0 days 00:00:00,0 days 00:46:00,0 days 00:00:00,0 days 00:46:00
AD2852,-M,01/11/2017 18:55,POA,CWB,01/11/2017 22:23,01/11/2017 23:31,02/11/2017 04:01,0 days 00:00:00,0 days 00:31:00,0 days 00:00:00,0 days 00:31:00
AD2852,-M,01/11/2017 18:55,CWB,CGR,02/11/2017 00:02,02/11/2017 01:43,02/11/2017 04:01,0 days 00:00:00,0 days 00:30:00,0 days 00:00:00,0 days 00:30:00
AD2852,-F,01/11/2017 18:55,CGR,CGB,02/11/2017 02:13,02/11/2017 03:31,02/11/2017 04:01,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2899,-I,04/11/2017 10:10,SMT,CGB,04/11/2017 10:43,04/11/2017 11:37,04/11/2017 17:38,0 days 00:36:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2433,-M,04/11/2017 10:10,CGB,GRU,04/11/2017 12:13,04/11/2017 14:19,04/11/2017 17:38,0 days 01:06:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4446,-F,04/11/2017 10:10,GRU,BSB,04/11/2017 15:25,04/11/2017 17:08,04/11/2017 17:38,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4441,-I,05/11/2017 07:20,BSB,VCP,05/11/2017 07:55,05/11/2017 09:28,05/11/2017 17:16,0 days 00:58:00,0 days 00:00:00,0 days 00:58:00,0 days 00:00:00
AD4150,-M,05/11/2017 07:20,VCP,MCZ,05/11/2017 10:26,05/11/2017 13:15,05/11/2017 17:16,0 days 00:34:00,0 days 00:00:00,0 days 00:34:00,0 days 00:00:00
AD4151,-F,05/11/2017 07:20,MCZ,VCP,05/11/2017 13:49,05/11/2017 16:46,05/11/2017 17:16,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5215,-I,08/11/2017 07:35,VCP,SDU,08/11/2017 08:23,08/11/2017 09:23,08/11/2017 14:56,0 days 00:27:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4013,-M,08/11/2017 07:35,SDU,VCP,08/11/2017 09:50,08/11/2017 11:12,08/11/2017 14:56,0 days 00:34:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4282,-M,08/11/2017 07:35,VCP,CWB,08/11/2017 11:46,08/11/2017 12:41,08/11/2017 14:56,0 days 00:34:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5093,-F,08/11/2017 07:35,CWB,VCP,08/11/2017 13:15,08/11/2017 14:26,08/11/2017 14:56,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD6902,-I,11/11/2017 09:20,VCP,NAT,11/11/2017 10:17,11/11/2017 13:21,11/11/2017 18:25,0 days 01:05:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD6903,-F,11/11/2017 09:20,NAT,VCP,11/11/2017 14:26,11/11/2017 17:55,11/11/2017 18:25,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9087,-I,22/12/2017 12:50,VCP,BYO,22/12/2017 13:45,22/12/2017 15:31,22/12/2017 20:06,0 days 00:23:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9087,-M,22/12/2017 12:50,BYO,CMG,22/12/2017 15:54,22/12/2017 16:53,22/12/2017 20:06,0 days 00:46:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9087,-F,22/12/2017 12:50,CMG,VCP,22/12/2017 17:39,22/12/2017 19:36,22/12/2017 20:06,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5352,-I,26/12/2017 00:20,VCP,MCZ,26/12/2017 01:10,26/12/2017 03:57,26/12/2017 07:39,0 days 00:00:00,0 days 00:29:00,0 days 00:00:00,0 days 00:00:00
AD5353,-F,26/12/2017 00:20,MCZ,VCP,26/12/2017 04:26,26/12/2017 07:09,26/12/2017 07:39,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5065,-I,07/01/2018 15:10,VCP,SSA,07/01/2018 16:13,07/01/2018 18:33,08/01/2018 00:15,0 days 00:00:00,0 days 00:38:00,0 days 00:00:00,0 days 00:38:00
AD2518,-M,07/01/2018 15:10,SSA,VCP,07/01/2018 19:11,07/01/2018 21:31,08/01/2018 00:15,0 days 00:00:00,0 days 00:35:00,0 days 00:00:00,0 days 00:35:00
